Id. de cliente,Nombre de compañía,Nombre del contacto,Cargo del contacto,Dirección,Ciudad,Región,Código postal,País,Teléfono,Fax
MEREP,Mère Paillarde,Jean Fresnière,Asistente de marketing,43 rue St. Laurent,Montreal,Québec,H1J 1C3,Canadá,(514) 555-8054,(514) 555-8055
MORGK,Morgenstern Gesundkost,Alexander Feuer,Asistente de marketing,Heerstr. 22,Leipzig,,04179,Alemania,0342-023176,
NORTS,North/South,Simon Crowther,Asistente de ventas,"South House
300 Queensbridge",Londres,,SW7 1RZ,Reino Unido,(71) 555-7733,(71) 555-2530
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Agente de ventas,"Ing. Gustavo Moncada 8585
Piso 20-A",Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535
OLDWO,Old World Delicatessen,Rene Phillips,Representante de ventas,2743 Bering St.,Anchorage,AK,99508,Estados Unidos,(907) 555-7584,(907) 555-2880
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Propietario,Mehrheimerstr. 369,Köln,,50739,Alemania,0221-0644327,0221-0765721
PARIS,Paris spécialités,Marie Bertrand,Propietario,"265, boulevard Charonne",París,,75012,Francia,(1) 42.34.22.66,(1) 42.34.22.77
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Representante de ventas,Calle Dr. Jorge Cash 321,México D.F.,,05033,México,(5) 552-3745,(5) 545-3745
PICCO,Piccolo und mehr,Georg Pipps,Gerente de ventas,Geislweg 14,Salzburgo,,5020,Austria,6562-9722,6562-9723
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Representante de ventas,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,
QUEDE,Que Delícia,Bernardo Batista,Gerente de contabilidad,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brasil,(21) 555-4252,(21) 555-4545
QUEEN,Queen Cozinha,Lúcia Carvalho,Asistente de marketing,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brasil,(11) 555-1189,
QUICK,QUICK-Stop,Horst Kloss,Gerente de contabilidad,Taucherstraße 10,Cunewalde,,01307,Alemania,0372-035188,
RANCH,Rancho grande,Sergio Gutiérrez,Representante de ventas,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Representante agente ventas,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos,(505) 555-5939,(505) 555-3620
REGGC,Reggiani Caseifici,Maurizio Moroni,Asistente de ventas,Strada Provinciale 124,Reggio Emilia,,42100,Italia,0522-556721,0522-556722
RICAR,Ricardo Adocicados,Janete Limeira,Asistente de agente de ventas,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brasil,(21) 555-3412,
RICSU,Richter Supermarkt,Michael Holz,Gerente de ventas,Grenzacherweg 237,Génova,,1203,Suiza,0897-034214,
ROMEY,Romero y tomillo,Alejandra Camino,Gerente de contabilidad,"Gran Vía, 1",Madrid,,28001,España,(91) 745 6200,(91) 745 6210
SANTG,Santé Gourmet,Jonas Bergulfsen,Propietario,Erling Skakkes gate 78,Stavern,,4110,Noruega,07-98 92 35,07-98 92 47
SAVEA,Save-a-lot Markets,Jose Pavarotti,Representante de ventas,187 Suffolk Ln.,Boise,ID,83720,Estados Unidos,(208) 555-8097,
SEVES,Seven Seas Imports,Hari Kumar,Gerente de ventas,90 Wadhurst Rd.,Londres,,OX15 4NB,Reino Unido,(71) 555-1717,(71) 555-5646
SIMOB,Simons bistro,Jytte Petersen,Propietario,Vinbæltet 34,København,,1734,Dinamarca,31 12 34 56,31 13 35 57
SPECD,Spécialités du monde,Dominique Perrier,Gerente de marketing,"25, rue Lauriston",París,,75016,Francia,(1) 47.55.60.10,(1) 47.55.60.20
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Gerente de ventas,P.O. Box 555,Lander,WY,82520,Estados Unidos,(307) 555-4680,(307) 555-6525
SUPRD,Suprêmes délices,Pascale Cartrain,Gerente de contabilidad,"Boulevard Tirou, 255",Charleroi,,B-6000,Bélgica,(071) 23 67 22 20,(071) 23 67 22 21
THEBI,The Big Cheese,Liz Nixon,Gerente de marketing,"89 Jefferson Way
Suite 2",Portland,OR,97201,Estados Unidos,(503) 555-3612,
THECR,The Cracker Box,Liu Wong,Asistente de marketing,55 Grizzly Peak Rd.,Butte,MT,59801,Estados Unidos,(406) 555-5834,(406) 555-8083
TOMSP,Toms Spezialitäten,Karin Josephs,Gerente de marketing,Luisenstr. 48,Münster,,44087,Alemania,0251-031259,0251-035695
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Propietario,Avda. Azteca 123,México D.F.,,05033,México,(5) 555-2933,
TRADH,Tradição Hipermercados,Anabela Domingues,Representante de ventas,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brasil,(11) 555-2167,(11) 555-2168
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Asistente de ventas,722 DaVinci Blvd.,Kirkland,WA,98034,Estados Unidos,(206) 555-8257,(206) 555-2174
VAFFE,Vaffeljernet,Palle Ibsen,Gerente de ventas,Smagsløget 45,Århus,,8200,Dinamarca,86 21 32 43,86 22 33 44
VICTE,Victuailles en stock,Mary Saveley,Agente de ventas,"2, rue du Commerce",Lion,,69004,Francia,78.32.54.86,78.32.54.87
VINET,Vins et alcools Chevalier,Paul Henriot,Gerente de contabilidad,59 rue de l'Abbaye,Reims,,51100,Francia,26.47.15.10,26.47.15.11
WANDK,Die Wandernde Kuh,Rita Müller,Representante de ventas,Adenauerallee 900,Stuttgart,,70563,Alemania,0711-020361,0711-035428
WARTH,Wartian Herkku,Pirkko Koskitalo,Gerente de contabilidad,Torikatu 38,Oulu,,90110,Finlandia,981-443655,981-443655
WELLI,Wellington Importadora,Paula Parente,Gerente de ventas,"Rua do Mercado, 12",Resende,SP,08737-363,Brasil,(14) 555-8122,
WHITC,White Clover Markets,Karl Jablonski,Propietario,"305 - 14th Ave. S.
Suite 3B",Seattle,WA,98128,Estados Unidos,(206) 555-4112,(206) 555-4115
WILMK,Wilman Kala,Matti Karttunen,Prop./Asistente marketing,Keskuskatu 45,Helsinki,,21240,Finlandia,90-224 8858,90-224 8858
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Propietario,ul. Filtrowa 68,Warszawa,,01-012,Polonia,(26) 642-7012,(26) 642-7012
