Id. de cliente,Dirección,Ciudad,Región,Código postal,País,Teléfono,Fax,Nombre de compañía,Nombre del contacto,Cargo del contacto
FUEGO,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 2,FUENTES GONZALO,Representante de ventas
LEMRO,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 2,LEMA RODRIGO,Representante de ventas
PUJLA,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 2,PUJOL LAUTARO,Representante de ventas
MAMJO,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 3,MAMANI JOAQUIN,Representante de ventas
NAVCO,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 3,NAVARRO CONRADO,Representante de ventas
RAGNI,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 3,RAGUSA NICOLAS,Representante de ventas
VOLDA,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 3,VOLPI DANIEL,Representante de ventas
BACFA,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 4,BACIGALUPO FACUNDO,Representante de ventas
DUAMA,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 4,DUARTE MATIAS,Representante de ventas
GIMMA,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 4,GIMENEZ MARIEL,Representante de ventas
HAMSE,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 4,HAMMERSMIDT SEBASTIAN,Representante de ventas
PAGAL,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 4,PAGANELLI ALAN,Representante de ventas
AQUJU,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 5,AQUINO JUAN,Representante de ventas
BERMA,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 5,BERRUETA MATIAS,Representante de ventas
GOMLU,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 5,GOMEZ LUCAS,Representante de ventas
OTEOL,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 5,OTERO OLAVERRIA FLORENCIA,Representante de ventas
TIMJO,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 5,TIMERMAN JOAQUIN,Representante de ventas
ESEAG,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 6,ESEVERRI AGUSTIN,Representante de ventas
POREZ,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 6,PORRAS EZEQUIEL,Representante de ventas
RICJA,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 6,RICCO JANICE,Representante de ventas
RUSCH,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 6,RUSSO CHRISTIAN,Representante de ventas
FERTO,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 7,FERNANDEZ TOMAS,Representante de ventas
GOMMA,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 7,GOMEZ MARIA PAULA,Representante de ventas
LECED,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 7,LECCA EDUARDO,Representante de ventas
SOUAL,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 7,SOUTO ALAN,Representante de ventas
STIED,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 7,STIPA EDUARDO,Representante de ventas
DEPGE,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 8,DE PINA GERMAN,Representante de ventas
LABCR,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 8,LABORDE CRISTIAN,Representante de ventas
LAGBE,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 8,LAGO BELEN,Representante de ventas
MONDA,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 8,MONTERO DANIELA,Representante de ventas
GINSA,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 9,GINABREDA SANTIAGO,Representante de ventas
INTPA,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 9,INTILISANO PABLO,Representante de ventas
MAGAG,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 9,MAGGI AGUSTIN,Representante de ventas
MILLU,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 9,MILOTICH LUCAS,Representante de ventas
ERNSH,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426,Ernst Handel,Roland Mendel,Representante de ventas
FAMIA,Rua Orós, 92,Sao Paulo,SP,05442-030,Brasil,(11) 555-9857,,Familia Arquibaldo,Aria Cruz,Representante de ventas
FISSA,C/ Moralzarzal, 86,Madrid,,28034,España,(91) 555 94 44,(91) 555 55 93,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Representante de ventas
FOLIG,184, chaussée de Tournai,Lille,,59000,Francia,20.16.10.16,20.16.10.17,Folies gourmandes,Martine Rancé,Representante de ventas
FOLKO,Åkergatan 24,Bräcke,,S-844 67,Suecia,0695-34 67 21,,Folk och fä HB,Maria Larsson,Propietario
FRANR,54, rue Royale,Nantes,,44000,Francia,40.32.21.21,40.32.21.20,France restauration,Carine Schmitt,Gerente de marketing
FRANS,Via Monte Bianco 34,Torino,,10100,Italia,011-4988260,011-4988261,Franchi S.p.A.,Paolo Accorti,Representante de ventas
FRANK,Berliner Platz 43,München,,80805,Alemania,089-0877310,089-0877451,Frankenversand,Peter Franken,Gerente de marketing
FURIB,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Gerente de ventas
GALED,Rambla de Cataluña, 23,Barcelona,,08022,España,(93) 203 4560,(93) 203 4561,Galería del gastrónomo,Eduardo Saavedra,Gerente de marketing
GODOS,C/ Romero, 33,Sevilla,,41101,España,(95) 555 82 82,,Godos Cocina Típica,José Pedro Freyre,Gerente de ventas
GOURL,Av. Brasil, 442,Campinas,SP,04876-786,Brasil,(11) 555-9482,,Gourmet Lanchonetes,André Fonseca,Asistente de ventas
GREAL,2732 Baker Blvd.,Eugenia,OR,97403,Estados Unidos,(503) 555-7555,,Great Lakes Food Market,Howard Snyder,Gerente de marketing
GROSR,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397,GROSELLA-Restaurante,Manuel Pereira,Propietario
HANAR,Rua do Paço, 67,Rio de Janeiro,RJ,05454-876,Brasil,(21) 555-0091,(21) 555-8765,Hanari Carnes,Mario Pontes,Gerente de contabilidad
HILAA,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,HILARIÓN-Abastos,Carlos Hernández,Representante de ventas
HUNGC,"City Center Plaza
516 Main St.",Elgin,OR,97827,Estados Unidos,(503) 555-6874,(503) 555-2376,Hungry Coyote Import Store,Yoshi Latimer,Representante de ventas
HUNGO,8 Johnstown Road,Cork,Co. Cork,,Irlanda,2967 542,2967 3333,Hungry Owl All-Night Grocers,Patricia McKenna,Asistente de ventas
ISLAT,"Garden House
Crowther Way",Cowes,Isla de Wight,PO31 7PJ,Reino Unido,(198) 555-8888,,Island Trading,Helen Bennett,Gerente de marketing
KOENE,Maubelstr. 90,Brandenburgo,,14776,Alemania,0555-09876,,Königlich Essen,Philip Cramer,Asistente de ventas
LACOR,67, avenue de l'Europe,Versalles,,78000,Francia,30.59.84.10,30.59.85.11,La corne d'abondance,Daniel Tonini,Representante de ventas
LAMAI,1 rue Alsace-Lorraine,Toulouse,,31000,Francia,61.77.61.10,61.77.61.11,La maison d'Asie,Annette Roulet,Gerente de ventas
LAUGB,1900 Oak St.,Vancouver,BC,V3F 2K1,Canadá,(604) 555-3392,(604) 555-7293,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Asistente de marketing
LAZYK,12 Orchestra Terrace,Walla Walla,WA,99362,Estados Unidos,(509) 555-7969,(509) 555-6221,Lazy K Kountry Store,John Steel,Gerente de marketing
LEHMS,Magazinweg 7,Francfurt,,60528,Alemania,069-0245984,069-0245874,Lehmanns Marktstand,Renate Messner,Representante de ventas
LETSS,"87 Polk St.
Suite 5",San Francisco,CA,94117,Estados Unidos,(415) 555-5938,,Let's Stop N Shop,Jaime Yorres,Propietario
LILAS,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256,LILA-Supermercado,Carlos González,Gerente de contabilidad
LINOD,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,LINO-Delicateses,Felipe Izquierdo,Propietario
LONEP,89 Chiaroscuro Rd.,Portland,OR,97219,Estados Unidos,(503) 555-9573,(503) 555-9646,Lonesome Pine Restaurant,Fran Wilson,Gerente de ventas
MAGAA,Via Ludovico il Moro 22,Bérgamo,,24100,Italia,035-640230,035-640231,Magazzini Alimentari Riuniti,Giovanni Rovelli,Gerente de marketing
MAISD,Rue Joseph-Bens 532,Bruselas,,B-1180,Bélgica,(02) 201 24 67,(02) 201 24 68,Maison Dewey,Catherine Dewey,Agente de ventas
MEREP,43 rue St. Laurent,Montreal,Québec,H1J 1C3,Canadá,(514) 555-8054,(514) 555-8055,Mère Paillarde,Jean Fresnière,Asistente de marketing
MORGK,Heerstr. 22,Leipzig,,04179,Alemania,0342-023176,,Morgenstern Gesundkost,Alexander Feuer,Asistente de marketing
NORTS,"South House
300 Queensbridge",Londres,,SW7 1RZ,Reino Unido,(71) 555-7733,(71) 555-2530,North/South,Simon Crowther,Asistente de ventas
OCEAN,"Ing. Gustavo Moncada 8585
Piso 20-A",Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535,Océano Atlántico Ltda.,Yvonne Moncada,Agente de ventas
OLDWO,2743 Bering St.,Anchorage,AK,99508,Estados Unidos,(907) 555-7584,(907) 555-2880,Old World Delicatessen,Rene Phillips,Representante de ventas
OTTIK,Mehrheimerstr. 369,Köln,,50739,Alemania,0221-0644327,0221-0765721,Ottilies Käseladen,Henriette Pfalzheim,Propietario
PARIS,265, boulevard Charonne,París,,75012,Francia,(1) 42.34.22.66,(1) 42.34.22.77,Paris spécialités,Marie Bertrand,Propietario
PERIC,Calle Dr. Jorge Cash 321,México D.F.,,05033,México,(5) 552-3745,(5) 545-3745,Pericles Comidas clásicas,Guillermo Fernández,Representante de ventas
PICCO,Geislweg 14,Salzburgo,,5020,Austria,6562-9722,6562-9723,Piccolo und mehr,Georg Pipps,Gerente de ventas
PRINI,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,,Princesa Isabel Vinhos,Isabel de Castro,Representante de ventas
QUEDE,Rua da Panificadora, 12,Rio de Janeiro,RJ,02389-673,Brasil,(21) 555-4252,(21) 555-4545,Que Delícia,Bernardo Batista,Gerente de contabilidad
QUEEN,Alameda dos Canàrios, 891,Sao Paulo,SP,05487-020,Brasil,(11) 555-1189,,Queen Cozinha,Lúcia Carvalho,Asistente de marketing
QUICK,Taucherstraße 10,Cunewalde,,01307,Alemania,0372-035188,,QUICK-Stop,Horst Kloss,Gerente de contabilidad
RANCH,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556,Rancho grande,Sergio Gutiérrez,Representante de ventas
RATTC,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos,(505) 555-5939,(505) 555-3620,Rattlesnake Canyon Grocery,Paula Wilson,Representante agente ventas
REGGC,Strada Provinciale 124,Reggio Emilia,,42100,Italia,0522-556721,0522-556722,Reggiani Caseifici,Maurizio Moroni,Asistente de ventas
RICAR,Av. Copacabana, 267,Rio de Janeiro,RJ,02389-890,Brasil,(21) 555-3412,,Ricardo Adocicados,Janete Limeira,Asistente de agente de ventas
RICSU,Grenzacherweg 237,Génova,,1203,Suiza,0897-034214,,Richter Supermarkt,Michael Holz,Gerente de ventas
ROMEY,Gran Vía, 1,Madrid,,28001,España,(91) 745 6200,(91) 745 6210,Romero y tomillo,Alejandra Camino,Gerente de contabilidad
SANTG,Erling Skakkes gate 78,Stavern,,4110,Noruega,07-98 92 35,07-98 92 47,Santé Gourmet,Jonas Bergulfsen,Propietario
SAVEA,187 Suffolk Ln.,Boise,ID,83720,Estados Unidos,(208) 555-8097,,Save-a-lot Markets,Jose Pavarotti,Representante de ventas
SEVES,90 Wadhurst Rd.,Londres,,OX15 4NB,Reino Unido,(71) 555-1717,(71) 555-5646,Seven Seas Imports,Hari Kumar,Gerente de ventas
SIMOB,Vinbæltet 34,København,,1734,Dinamarca,31 12 34 56,31 13 35 57,Simons bistro,Jytte Petersen,Propietario
SPECD,25, rue Lauriston,París,,75016,Francia,(1) 47.55.60.10,(1) 47.55.60.20,Spécialités du monde,Dominique Perrier,Gerente de marketing
SPLIR,P.O. Box 555,Lander,WY,82520,Estados Unidos,(307) 555-4680,(307) 555-6525,Split Rail Beer & Ale,Art Braunschweiger,Gerente de ventas
SUPRD,Boulevard Tirou, 255,Charleroi,,B-6000,Bélgica,(071) 23 67 22 20,(071) 23 67 22 21,Suprêmes délices,Pascale Cartrain,Gerente de contabilidad
THEBI,"89 Jefferson Way
Suite 2",Portland,OR,97201,Estados Unidos,(503) 555-3612,,The Big Cheese,Liz Nixon,Gerente de marketing
THECR,55 Grizzly Peak Rd.,Butte,MT,59801,Estados Unidos,(406) 555-5834,(406) 555-8083,The Cracker Box,Liu Wong,Asistente de marketing
TOMSP,Luisenstr. 48,Münster,,44087,Alemania,0251-031259,0251-035695,Toms Spezialitäten,Karin Josephs,Gerente de marketing
TORTU,Avda. Azteca 123,México D.F.,,05033,México,(5) 555-2933,,Tortuga Restaurante,Miguel Angel Paolino,Propietario
TRADH,Av. Inês de Castro, 414,Sao Paulo,SP,05634-030,Brasil,(11) 555-2167,(11) 555-2168,Tradição Hipermercados,Anabela Domingues,Representante de ventas
TRAIH,722 DaVinci Blvd.,Kirkland,WA,98034,Estados Unidos,(206) 555-8257,(206) 555-2174,Trail's Head Gourmet Provisioners,Helvetius Nagy,Asistente de ventas
VAFFE,Smagsløget 45,Århus,,8200,Dinamarca,86 21 32 43,86 22 33 44,Vaffeljernet,Palle Ibsen,Gerente de ventas
VICTE,2, rue du Commerce,Lion,,69004,Francia,78.32.54.86,78.32.54.87,Victuailles en stock,Mary Saveley,Agente de ventas
VINET,59 rue de l'Abbaye,Reims,,51100,Francia,26.47.15.10,26.47.15.11,Vins et alcools Chevalier,Paul Henriot,Gerente de contabilidad
WARTH,Torikatu 38,Oulu,,90110,Finlandia,981-443655,981-443655,Wartian Herkku,Pirkko Koskitalo,Gerente de contabilidad
WELLI,Rua do Mercado, 12,Resende,SP,08737-363,Brasil,(14) 555-8122,,Wellington Importadora,Paula Parente,Gerente de ventas
WHITC,"305 - 14th Ave. S.
Suite 3B",Seattle,WA,98128,Estados Unidos,(206) 555-4112,(206) 555-4115,White Clover Markets,Karl Jablonski,Propietario
WILMK,Keskuskatu 45,Helsinki,,21240,Finlandia,90-224 8858,90-224 8858,Wilman Kala,Matti Karttunen,Prop./Asistente marketing
WOLZA,ul. Filtrowa 68,Warszawa,,01-012,Polonia,(26) 642-7012,(26) 642-7012,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Propietario
